timestamp,ran_ue_id,cell_id,dl_bitrate,ul_bitrate,dl_tx,ul_tx,dl_retx,ul_retx,pusch_snr,epre,ul_phr,ul_path_loss,p_ue,dl_mcs,ul_mcs,turbo_decoder_min,turbo_decoder_avg,turbo_decoder_max,cqi,ri,initial_ta
2025-01-23 18:46:45,108,1,37437,129562,16,25,0,0,9.8,-105.3,38,66.7,-15,12.4,3.3,1,1.571,3,11,2,5
2025-01-23 18:46:45,87,1,114725,10812,15,6,0,0,19.6,-98.6,38,63.7,-16,27,11.8,1,1.833,2,15,2,6
2025-01-23 18:46:46,108,1,42800,113675,19,22,2,0,18.4,-96.8,36,66.3,-13,13.6,4.2,1,1.652,4,12,2,5
2025-01-23 18:46:46,87,1,119300,12225,15,6,1,0,19.2,-98.7,38,62.8,-16,27,12.5,2,2.167,3,15,2,6
2025-01-23 18:46:46,108,1,49294,112047,21,20,4,0,17.8,-96.5,38,65.5,-14,14.8,9,1,1.48,2,11,2,5
2025-01-23 18:46:46,87,1,120576,18670,20,10,0,0,18.1,-98.5,38,64.7,-16,26.9,11.7,1,2,3,15,2,6
2025-01-23 18:51:21,113,1,6,3,43,17,14,7,13,-103.2,36,67.5,-14,13.6,12.6,1,3.208,5,9,2,5
2025-01-23 18:51:21,87,1,23248,5869,1507,740,6,5,18.8,-99.2,38,64.9,-16,26.9,12.3,1,2.141,5,15,2,6
2025-01-23 18:51:22,113,1,34009,54147,17,13,2,4,20.1,-96.1,38,67,-14,12.2,9.4,1,2.833,5,9,2,5
2025-01-23 18:51:22,87,1,60559,7867,11,5,0,0,17.6,-97.2,38,62.6,-16,27,13.2,2,2.2,3,15,2,6
2025-01-23 18:51:23,113,1,33482,55529,16,13,4,8,17.4,-100,38,66.5,-16,12.8,11.8,1,3.273,5,10,2,5
2025-01-23 18:51:23,87,1,59152,8329,10,4,0,0,16.6,-98.9,38,63.5,-16,27,12,2,2,2,15,2,6
2025-01-23 18:51:23,113,1,41362,59787,20,16,8,5,11.7,-103.3,38,69.6,-14,11.6,7.4,1,3.045,5,9,2,5
2025-01-23 18:51:23,87,1,62725,15187,11,7,1,0,18.7,-97,38,63.9,-16,26.8,11.9,2,2,2,15,2,6
2025-01-23 18:51:24,113,1,33188,51400,21,17,12,1,10.8,-105.1,38,71.8,-15,11,3.3,1,2.368,5,9,2,5
2025-01-23 18:51:24,87,1,57855,8366,12,5,0,0,17.4,-97.1,38,65.7,-16,27,12.8,2,2.4,3,15,2,6
2025-01-23 18:51:25,113,1,33655,97208,19,19,7,8,3.7,-111.1,38,71.2,-15,10.2,3.4,1,2.966,5,8,2,5
2025-01-23 18:51:25,87,1,95518,7742,11,4,0,0,18.2,-99.1,38,63.7,-16,27,11.8,2,2,2,15,2,6
2025-01-23 18:51:25,113,1,27933,99933,14,21,3,5,10.1,-105.5,38,69.3,-14,9.8,3.8,1,2.933,5,9,2,5
2025-01-23 18:51:25,87,1,112372,12006,16,6,0,0,15.4,-97.2,38,63,-16,26.9,12,2,2,2,15,2,6
2025-01-23 18:51:26,113,1,39927,126533,19,20,6,3,8.8,-104.6,36,70.4,-13,13,3.8,1,2.36,5,10,2,5
2025-01-23 18:51:26,87,1,114072,12945,15,7,0,0,19.4,-99.2,38,64.9,-14,26.9,12.1,1,1.857,2,15,2,6
2025-01-23 18:51:27,113,1,43192,102278,20,18,9,1,14.5,-101.5,38,67.8,-14,12.6,5.9,1,2.5,5,10,2,5
2025-01-23 18:51:27,87,1,104920,13560,12,7,0,1,17.7,-98.8,38,65,-16,26.9,13.7,2,2.5,5,15,2,6
2025-01-23 18:51:27,113,1,35731,115469,19,22,8,3,11.4,-104.1,38,66.6,-15,11.9,3.2,1,2.448,5,9,2,5
2025-01-23 18:51:27,87,1,117603,11803,16,6,0,0,15.9,-99,38,63.3,-16,27,11.2,1,1.833,2,15,2,6
2025-01-23 18:51:28,113,1,39658,165800,22,25,8,0,12.6,-103,38,69.4,-15,10.4,3.9,1,1.903,5,8,2,5
2025-01-23 18:51:28,87,1,207517,37611,37,23,0,2,17,-97.3,38,66.1,-14,26.9,12.9,1,2.32,5,15,2,6
2025-01-23 18:51:29,113,1,38188,157152,21,24,0,1,11.3,-103.9,38,67.9,-15,9,3.5,1,2.194,5,8,2,5
2025-01-23 18:51:29,87,1,134670,12458,16,7,0,0,17.5,-97.2,38,64.3,-16,27,12.1,2,2,2,15,2,6
2025-01-23 18:51:29,113,1,40176,98729,21,23,0,0,11.8,-104.1,38,67.6,-15,9,3,1,1.458,4,8,2,5
2025-01-23 18:51:29,87,1,106917,17270,19,8,0,0,17.7,-98.9,38,63.8,-16,26.9,12.4,2,2,2,15,2,6
2025-01-23 18:51:30,113,1,37666,98310,21,19,1,4,6.8,-108.2,38,68.1,-15,9,3.6,1,2.692,5,8,2,5
2025-01-23 18:51:30,87,1,100644,15976,15,8,1,0,17.2,-97.2,38,62.7,-16,26.9,11.8,2,2,2,15,2,6
2025-01-23 18:51:31,113,1,30860,74860,15,15,3,2,7.2,-107.8,32,69.6,-9,10.6,3.3,1,2.316,5,10,2,5
2025-01-23 18:51:31,87,1,88339,14436,13,7,0,0,19.8,-97,38,65.9,-16,27,12.1,2,2,2,15,2,6
2025-01-23 18:51:31,113,1,37305,58730,19,18,4,0,16.7,-98.9,38,66.2,-15,14.4,3.8,1,1.667,4,11,2,5
2025-01-23 18:51:31,87,1,70128,12196,15,7,0,0,17.1,-97.1,38,66,-16,27,13.7,2,2.857,5,15,2,6
2025-01-23 18:51:32,113,1,42237,53750,20,14,0,0,18.2,-95.9,38,65,-14,14.9,8.7,1,1.6,2,10,2,5
2025-01-23 18:51:32,87,1,55912,10362,10,5,1,0,17.5,-99.2,38,66,-16,27,11.2,1,1.8,2,15,2,6
2025-01-23 18:51:33,113,1,45225,61050,20,16,1,0,21.7,-93.8,32,67.4,-10,14.1,11.1,1,1.471,2,12,2,5
2025-01-23 18:51:33,87,1,61687,15737,12,7,0,0,23.1,-98.9,38,66.2,-14,26.7,11.3,1,1.857,2,15,2,6
2025-01-23 18:51:33,113,1,43488,62816,18,14,1,2,21.9,-95.6,36,62.5,-14,14,15.9,1,2.235,5,10,2,5
2025-01-23 18:51:33,87,1,66859,10317,11,5,0,0,17.5,-99.2,38,66.1,-16,26.9,13.2,2,2.4,4,15,2,6
2025-01-23 18:51:34,113,1,36435,61102,17,14,3,1,16.5,-97.4,38,63,-16,12.6,11.1,1,2.312,5,10,2,5
2025-01-23 18:51:34,87,1,59922,7678,11,4,0,0,20.9,-99.2,38,63.2,-16,27,12,2,2,2,15,2,6
2025-01-23 18:51:35,113,1,41662,59762,17,14,0,0,19.2,-94.6,34,63.3,-12,14.3,11.6,1,1.533,3,11,2,5
2025-01-23 18:51:35,87,1,63637,7350,9,4,0,0,16.5,-97.2,38,66.2,-16,27,13.2,2,2.5,3,15,2,6
2025-01-23 18:51:35,113,1,39745,67054,19,13,2,0,20.8,-94.5,36,66.8,-12,12.9,12.3,1,1.667,3,9,2,5
2025-01-23 18:51:35,87,1,60642,11236,9,6,1,0,17.7,-98.8,38,64,-16,26.9,12.7,2,2.5,4,15,2,6
2025-01-23 18:51:36,113,1,41050,110975,20,17,0,0,21,-94.6,34,62.9,-12,11,11.9,1,1.762,3,9,2,5
2025-01-23 18:51:36,87,1,111687,13475,13,6,1,0,18.6,-99,38,63.9,-16,26.9,13,2,2.5,4,15,2,6
2025-01-23 18:51:37,113,1,38887,118662,19,17,1,0,21.6,-93.8,34,62.7,-12,11.6,13.4,1,1.409,3,9,2,5
2025-01-23 18:51:37,87,1,107412,10262,11,5,0,0,14.6,-97.5,38,64.3,-16,27,11,1,2,3,15,2,6
2025-01-23 18:51:37,113,1,37175,108763,18,17,1,0,26.2,-89.3,32,64.5,-10,12.8,13.6,1,1.81,3,10,2,5
2025-01-23 18:51:37,87,1,101490,9515,11,5,1,0,19.7,-98.6,38,65.8,-14,27,10.4,1,1.4,2,15,2,6
2025-01-23 18:51:38,113,1,38145,104848,17,15,3,0,30.5,-88,32,63.6,-10,14.3,17.1,1,1.474,2,10,2,5
2025-01-23 18:51:38,87,1,99163,7418,12,4,0,0,19.2,-98.7,38,64.9,-16,26.9,12.5,2,2,2,15,2,6
2025-01-23 18:51:39,113,1,49602,108807,22,16,2,3,22.3,-92.6,32,61.6,-13,16.9,17.6,1,2.348,5,11,2,5
2025-01-23 18:51:39,87,1,188998,41147,35,21,1,0,16.3,-96.9,38,64.7,-16,27,12.1,1,2.095,4,15,2,6
2025-01-23 18:51:39,113,1,36350,98912,18,16,0,1,21.9,-94.1,36,65.5,-14,14.2,10.7,1,1.714,5,12,2,5
2025-01-23 18:51:39,87,1,108288,17044,14,7,1,0,17.3,-99.9,38,64.7,-16,27,11.6,1,1.857,2,15,2,6
2025-01-23 18:51:40,113,1,39125,116312,17,18,1,0,27,-89.6,32,69.8,-8,15.2,9,1,1.391,2,12,2,5
2025-01-23 18:51:40,87,1,99750,8725,11,5,1,0,17.6,-99.2,38,64.6,-16,26.9,11.8,1,1.8,3,15,2,6
2025-01-23 18:51:40,113,1,41329,104611,20,15,1,3,14.6,-99.4,38,60.7,-16,15.1,15.1,1,2.478,5,11,2,5
